region_name,region_type,period_begin,period_end,duration,total_homes_sold,total_homes_sold_yoy,average_homes_sold,average_homes_sold_yoy,total_homes_sold_with_price_drops,total_homes_sold_with_price_drops_yoy,average_homes_sold_with_price_drops,average_homes_sold_with_price_drops_yoy,percent_homes_sold_with_price_drops,percent_homes_sold_with_price_drops_yoy,median_sale_price,median_sale_price_yoy,median_sale_ppsf,median_sale_ppsf_yoy,median_days_to_close,median_days_to_close_yoy,price_drops,price_drops_yoy,percent_active_listings_with_price_drops,percent_active_listings_with_price_drops_yoy,pending_sales,pending_sales_yoy,median_pending_sqft,median_pending_sqft_yoy,off_market_in_two_weeks,off_market_in_two_weeks_yoy,off_market_in_one_week,off_market_in_one_week_yoy,percent_off_market_in_two_weeks,percent_off_market_in_two_weeks_yoy,percent_off_market_in_one_week,percent_off_market_in_one_week_yoy,total_new_listings,total_new_listings_yoy,average_new_listings,average_new_listings_yoy,median_new_listing_price,median_new_listing_price_yoy,median_new_listing_ppsf,median_new_listing_ppsf_yoy,inventory,inventory_yoy,total_active_listings,total_active_listings_yoy,active_listings,active_listings_yoy,age_of_inventory,age_of_inventory_yoy,homes_delisted,homes_delisted_yoy,percent_active_listings_delisted,percent_active_listings_delisted_yoy,median_active_list_price,median_active_list_price_yoy,median_active_list_ppsf,median_active_list_ppsf_yoy,average_of_median_list_price_amount,average_of_median_list_price_amount_yoy,average_of_median_offer_price_amount,average_of_median_offer_price_amount_yoy,avg_offer_to_list,avg_offer_to_list_yoy,average_sale_to_list_ratio,average_sale_to_list_ratio_yoy,median_days_on_market,median_days_on_market_yoy,pending_sales_to_sales_ratio,pending_sales_to_sales_ratio_yoy,months_of_supply,months_of_supply_yoy,average_pending_sales_listing_updates,average_pending_sales_listing_updates_yoy,percent_total_price_drops_of_inventory,percent_total_price_drops_of_inventory_yoy,last_updated
"New York County, NY",county,1/6/2020,2/2/2020,4 weeks,728,0.189542484,182,0.189542484,7,-0.125,1,-0.5,0.009377329,-0.004101228,1124625,0.034732605,1260.058756,-0.016559278,0,0,51,-0.32,0.006600204,-0.00183763,18,0.285714286,986.3,0.035485564,2,1,1,,0.094230769,0.015972222,0.084615385,0.021981838,1198,0.008417508,299,0.006734007,1367625,0.026093633,1553.32512,0.067371088,7565,-0.120348837,31080,-0.126352776,7770,-0.126279096,131.7,-3.3,69,-0.55483871,0.008974707,-0.008449651,1473750,-0.003037531,1445.534716,-0.028747448,579000,,,,,,0.999857263,0.000328441,211.1,38,0.097552721,0.006162748,42.85548695,-16.17070086,13,-0.35,0.02709848,-0.008017799,3/10/2021 14:56
"New York County, NY",county,1/13/2020,2/9/2020,4 weeks,733,0.165341812,183,0.165605096,9,-0.181818182,2,0,0.012250893,-0.005624546,1229836.3,0.026467439,1286.147707,-0.004155765,0,0,52,0.238095238,0.0066772,0.001919171,20,0.818181818,885.1,-0.233082055,2,1,2,,0.126839465,0.048580918,0.106354515,0.043720968,1137,-0.04614094,284,-0.046979866,1281125,-0.02323215,1488.817385,0.038524615,7580,-0.117989295,31149,-0.117717037,7787,-0.117720372,133.7,-3,70,-0.333333333,0.009050844,-0.002821039,1476250,-0.000592502,1445.666677,-0.030044781,579000,-0.228,,,,,0.997961065,-0.001286959,222.5,48.2,0.108409349,0.035436499,42.62603548,-14.39807833,15,0.5,0.027440633,0.007892111,3/10/2021 14:56
"New York County, NY",county,1/20/2020,2/16/2020,4 weeks,727,0.197693575,181,0.198675497,8,-0.272727273,2,0,0.011032815,-0.007075724,1206711.3,-0.000653168,1282.610583,-0.012399479,0,0,49,0.225,0.00631375,0.001686866,19,1.111111111,872.2,-0.309695291,1,0,1,0,0.08125123,-0.049090651,0.06076628,-0.069575601,1125,-0.003542958,281,-0.003546099,1317375,0.012608888,1441.032609,0.058129317,7597,-0.114259065,31201,-0.114086147,7800,-0.114039073,135.2,-2.5,69,-0.336538462,0.008940165,-0.002863418,1478750,-0.000260422,1444.055812,-0.031475292,,,,,,,0.997662692,-0.001053358,223.3,42.1,0.105217145,0.045997209,43.02275087,-15.90649114,16,0.454545455,0.025931289,0.006926975,3/10/2021 14:56
"New York County, NY",county,1/27/2020,2/23/2020,4 weeks,712,0.172981878,178,0.178807947,10,-0.090909091,2,0,0.014495265,-0.003613274,1194211.3,-0.031556979,1292.522219,-0.021646876,0,0,51,0.275,0.006613451,0.002028217,20,0.818181818,1056.8,-0.108336146,2,,1,,0.13125123,0.028687127,0.094099613,-0.008464489,1134,0.018867925,283,0.017985612,1322125,0.023141394,1430.652981,0.037023322,7624,-0.107782329,31308,-0.108339029,7827,-0.108339029,137.2,-2,69,-0.316831683,0.008849744,-0.002604013,1480000,-0.001226871,1444.755024,-0.031721639,,,,,,,0.997554,-0.001284695,208.5,14.4,0.113114123,0.036037044,44.26950135,-14.44743907,17,0.307692308,0.027151102,0.008309674,3/10/2021 14:56
"New York County, NY",county,2/3/2020,3/1/2020,4 weeks,712,0.133757962,178,0.133757962,14,0.272727273,3,0.5,0.01962347,0.001979122,1140461.3,-0.11975973,1275.397548,-0.071128806,0,0,53,0.325,0.00684941,0.002259228,16,0.454545455,1058.1,-0.109343434,2,,1,,0.11202046,0.01202046,0.084484228,-0.015515772,1150,-0.05505341,287,-0.055921053,1280750,0.028714859,1350.602583,0.004512609,7657,-0.106012843,31415,-0.10432229,7853,-0.104356752,138,-2.5,66,-0.029411765,0.008500611,0.00072106,1480000,-0.000136941,1442.151119,-0.031806681,,,,,,,0.997122787,-0.000802539,203.5,-5.3,0.092601303,0.014971615,44.40668084,-12.8858343,19,0.357142857,0.028078882,0.009281451,3/10/2021 14:56
"New York County, NY",county,2/10/2020,3/8/2020,4 weeks,707,0.164744646,176,0.165562914,16,1,4,1,0.022667066,0.009372028,1034375,-0.19386264,1257.245138,-0.067780252,0,0,52,0.155555556,0.006632729,0.001463575,14,-0.066666667,1179.1,0.267032022,2,1,1,0,0.146078431,-0.001540616,0.096078431,-0.039635854,1238,-0.01433121,309,-0.015923567,1348500,0.017735849,1383.964676,-0.005057372,7704,-0.102829859,31632,-0.100903871,7908,-0.100852757,138,-3.5,74,0.088235294,0.009372893,0.001566505,1478750,0.001477955,1441.66754,-0.029758373,,,,,,,0.997816316,-0.000519473,199.5,-5.5,0.081744675,-0.020403178,45.05920924,-14.38135298,18,0.125,0.027258567,0.006063738,3/10/2021 14:56
"New York County, NY",county,2/17/2020,3/15/2020,4 weeks,694,0.126623377,173,0.123376623,14,0.272727273,3,0.5,0.019978894,0.00185316,1068750,-0.183381089,1271.198929,-0.075918593,0,0,50,0.086956522,0.006355235,0.001065897,16,-0.111111111,1188.2,0.393782991,2,1,1,0,0.126666667,0.034603175,0.076666667,0.010396825,1201,-0.104399702,300,-0.104477612,1273250,-0.045807963,1380.088613,-0.021635484,7738,-0.102424313,31774,-0.101108974,7943,-0.101165554,138,-4.2,79,0.128571429,0.009993124,0.002022111,1477500,0.001995378,1441.04297,-0.02801382,,,,,,,0.997679912,-0.000300349,200.5,-1.6,0.09502238,-0.026241225,46.0555499,-12.75414647,18,0.125,0.026104937,0.004413718,3/10/2021 14:56
"New York County, NY",county,2/24/2020,3/22/2020,4 weeks,663,0.00913242,165,0.006097561,11,0.375,2,0,0.015593594,0.003420241,1087500,-0.176526266,1268.78229,-0.117942039,0,0,43,-0.085106383,0.005442041,0.000129061,16,-0.058823529,1103.5,0.105489882,2,0,1,0,0.120784314,-0.006993464,0.08745098,0.003323996,996,-0.312154696,249,-0.312154696,1203500,-0.113851818,1340.462965,-0.047539751,7705,-0.111917935,31674,-0.109830813,7918,-0.109836987,137.7,-3.3,93,0.207792208,0.011854133,0.003196627,1470000,-0.002544529,1438.476545,-0.028137289,1475000,0.236897275,1475000,0.274298056,1,0.029377637,0.997138195,-0.000961966,202.2,-11.9,0.104867188,-0.001640215,48.93566819,-5.968351436,17,0.0625,0.022452953,0.00066872,3/10/2021 14:56
"New York County, NY",county,3/2/2020,3/29/2020,4 weeks,531,-0.154458599,132,-0.159235669,7,-0.363636364,1,-0.5,0.015837795,-0.001525549,1166250,-0.114598343,1275.38827,-0.10844459,0,0,36,-0.25,0.004555646,-0.000899888,16,-0.058823529,1246.5,0.206679574,2,0,1,0,0.120784314,-0.034444444,0.08745098,-0.009421102,725,-0.482512491,181,-0.482857143,1264750,-0.044570349,1341.228871,-0.04663417,7626,-0.12706044,31275,-0.125541731,7818,-0.125601163,139,-0.5,96,0.333333333,0.012266822,0.004123694,1463750,-0.003404255,1437.321989,-0.027188994,1475000,0.236897275,1475000,0.274298056,1,0.029377637,0.997821959,-0.000824536,210.7,-5.6,0.127760961,0.014881918,68.64049115,11.47803778,14,-0.125,0.018882769,-0.003438659,3/10/2021 14:56
"New York County, NY",county,3/9/2020,4/5/2020,4 weeks,443,-0.320552147,110,-0.325153374,6,-0.538461538,1,-0.666666667,0.019179894,-0.000926216,1352500,0.029849414,1333.843252,-0.096594943,0,0,23,-0.520833333,0.002971531,-0.002373788,15,-0.4,1217.2,0.106847322,1,-0.5,1,0,0.054117647,-0.062751323,0.054117647,-0.016299409,427,-0.736906962,106,-0.738271605,1309625,-0.056126126,1301.811306,-0.091022822,7482,-0.153524154,30594,-0.15542182,7648,-0.155477032,141.2,6.7,87,0.208333333,0.011406235,0.0034645,1456250,-0.008510638,1435.297446,-0.028318796,1475000,0.244725738,1475000,0.288209607,1,0.033755274,0.996909801,-0.001106,207.7,-18.8,0.139522229,-0.017481851,79.42139187,23.79785019,12,-0.25,0.012296177,-0.009652007,3/10/2021 14:56
"New York County, NY",county,3/16/2020,4/12/2020,4 weeks,345,-0.505021521,86,-0.505747126,6,-0.6,1,-0.666666667,0.019179894,-0.001961482,1397500,0.047661043,1428.968908,-0.033471904,0,0,15,-0.7,0.002097782,-0.003410222,11,-0.607142857,1315,0.205868867,0,-1,0,-1,0.044117647,-0.078306878,0.044117647,-0.03741052,211,-0.871184371,52,-0.872860636,1469625,0.059189189,1376.002621,-0.034683596,7311,-0.182489098,29786,-0.186774784,7446,-0.186762779,144.5,20,77,0.115942029,0.010252191,0.002687686,1449750,-0.01293617,1434.154836,-0.027546554,1475000,0.244725738,1475000,0.288209607,1,0.033755274,0.997368001,-0.001288276,239,-2,0.133395062,-0.032074821,91.7868254,38.99485265,13,-0.1875,0.008617152,-0.013970346,3/10/2021 14:56
"New York County, NY",county,3/23/2020,4/19/2020,4 weeks,292,-0.578643579,73,-0.578034682,9,-0.571428571,2,-0.6,0.030894397,0.000550568,1472500,0.082582241,1488.923808,0.018046692,0,0,13,-0.754716981,0.001887773,-0.003904236,8,-0.741935484,1297.5,0.343863283,0,-1,0,-1,0,-0.09671024,0,-0.073671024,181,-0.882161458,45,-0.8828125,1557125,0.084160139,1447.07117,0.010042722,7169,-0.20565097,29088,-0.212155684,7272,-0.212134345,148,32.5,55,-0.112903226,0.007576437,0.000862539,1447750,-0.014420336,1433.979919,-0.026009837,,,,,,,0.997575936,-0.000615575,255.2,2.7,0.120212848,-0.062642509,100.5720504,46.99959572,12,-0.2,0.007671921,-0.016039991,3/10/2021 14:56
