FIPS,county,county_ascii,county_fips,state_id,state_name,lat,lng,population
16087.0,Washington,Washington,16087,ID,Idaho,44.4524,-116.7847,10057
31119.0,Madison,Madison,31119,NE,Nebraska,41.9167,-97.6008,35080
5131.0,Sebastian,Sebastian,5131,AR,Arkansas,35.1993,-94.2742,127591
21209.0,Scott,Scott,21209,KY,Kentucky,38.2915,-84.5839,54667
2122.0,Kenai Peninsula,Kenai Peninsula,2122,AK,Alaska,60.2654,-151.5652,58464
29095.0,Jackson,Jackson,29095,MO,Missouri,39.0085,-94.3461,696216
16075.0,Payette,Payette,16075,ID,Idaho,44.0067,-116.7608,23260
54081.0,Raleigh,Raleigh,54081,WV,West Virginia,37.7714,-81.2486,75252
35003.0,Catron,Catron,35003,NM,New Mexico,33.9152,-108.4046,3526
8089.0,Otero,Otero,8089,CO,Colorado,37.9026,-103.7165,18282
42031.0,Clarion,Clarion,42031,PA,Pennsylvania,41.1924,-79.421,38715
16041.0,Franklin,Franklin,16041,ID,Idaho,42.1811,-111.8132,13464
53031.0,Jefferson,Jefferson,53031,WA,Washington,47.7489,-123.5952,31285
50023.0,Washington,Washington,50023,VT,Vermont,44.2734,-72.6149,58350
