date,temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),relative_humidity (0-1),county,state_name,county_fips,state_id,population,lat,lng
2020-01-21,1.21,2.79,149,0.33,0.0,0.46,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-01-22,4.41,3.17,107,0.92,0.0,0.44,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-01-23,7.33,2.6,16,1.0,1.08,0.8,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-01-24,7.3,3.24,147,0.29,0.0,0.76,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-01-25,6.08,2.69,159,0.63,0.0,0.59,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-01-26,8.86,3.72,113,0.62,0.06,0.65,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-01-27,7.25,1.62,168,0.01,0.0,0.66,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-01-28,6.33,1.56,110,0.52,0.0,0.67,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-01-29,7.48,2.06,104,0.57,0.01,0.73,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-01-30,4.57,2.75,22,0.8,0.38,0.82,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-01-31,6.27,0.79,101,0.88,0.01,0.83,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-01,9.17,4.63,174,0.0,0.0,0.56,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-02,13.48,3.73,161,0.47,0.0,0.48,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-03,15.77,3.63,110,0.88,0.03,0.64,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-04,16.3,3.34,31,0.99,0.55,0.88,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-05,17.24,4.26,14,1.0,3.03,0.93,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-06,9.29,5.82,154,0.64,0.43,0.69,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-07,1.27,1.85,65,0.41,0.13,0.74,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-08,3.19,0.7,165,0.83,0.0,0.85,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-09,6.12,0.62,79,0.96,0.33,0.8,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-10,16.21,3.64,50,0.98,1.27,0.9,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-11,15.73,0.33,61,0.99,0.08,0.87,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-12,16.79,4.02,72,0.97,0.84,0.87,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-13,9.35,1.62,199,0.49,0.0,0.57,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-14,4.82,2.37,199,0.22,0.0,0.45,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-15,4.91,0.94,38,0.96,0.14,0.77,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-16,8.29,0.59,156,0.86,0.0,0.79,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-17,11.92,1.12,21,1.0,0.64,0.86,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-18,12.07,0.94,44,1.0,0.48,0.84,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-19,6.95,3.38,15,1.0,0.61,0.69,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-20,3.76,2.95,220,0.3,0.04,0.64,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-21,4.67,0.98,218,0.0,0.0,0.58,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-22,7.37,2.09,167,0.76,0.0,0.53,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-23,9.3,0.98,22,1.0,0.43,0.64,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-24,11.26,0.5,71,1.0,0.75,0.88,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-25,12.04,2.4,157,0.95,0.0,0.76,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-26,6.12,4.56,230,0.1,0.0,0.47,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-27,5.33,4.07,198,0.12,0.0,0.49,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-28,6.5,3.79,224,0.15,0.0,0.49,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-02-29,5.81,0.94,220,0.3,0.0,0.46,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-01,10.16,2.65,142,0.84,0.04,0.61,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-02,14.12,2.96,46,0.96,0.67,0.89,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-03,13.9,0.99,82,0.93,0.26,0.82,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-04,10.84,0.73,49,0.96,0.9,0.89,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-05,9.19,3.73,235,0.45,0.04,0.64,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-06,7.02,2.03,248,0.0,0.0,0.46,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-07,7.83,0.97,226,0.44,0.0,0.51,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-08,10.78,1.73,165,0.63,0.0,0.59,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-09,15.23,2.73,45,0.97,0.1,0.77,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-10,16.14,3.1,159,0.57,0.02,0.77,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-11,16.99,2.24,140,0.58,0.04,0.78,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-12,19.96,3.32,97,0.97,0.02,0.77,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-13,17.17,1.51,93,0.94,0.08,0.57,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-14,14.58,0.41,98,0.98,0.11,0.74,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-15,12.19,2.66,46,1.0,0.08,0.72,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-16,12.74,0.49,112,0.98,0.23,0.79,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-17,15.4,1.45,111,0.66,0.01,0.83,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-18,19.84,1.06,143,0.94,0.19,0.8,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-19,21.98,3.13,222,0.92,0.0,0.69,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-20,21.41,3.15,246,0.69,0.01,0.65,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-21,14.29,2.54,78,0.98,0.03,0.68,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-22,9.99,1.47,23,1.0,0.49,0.89,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-23,12.51,1.2,38,0.99,0.86,0.94,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-24,16.81,0.76,248,0.66,0.8,0.76,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-25,16.07,1.68,243,0.36,0.0,0.68,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-26,19.74,2.73,239,0.61,0.0,0.68,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-27,22.57,3.65,253,0.67,0.0,0.69,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-28,23.24,4.15,178,0.94,0.01,0.64,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-29,20.16,2.8,221,0.97,0.0,0.36,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-30,15.5,1.41,70,1.0,0.28,0.52,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-03-31,11.47,2.68,202,0.52,0.02,0.62,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-01,11.38,1.2,292,0.23,0.0,0.53,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-02,14.94,0.19,291,0.01,0.0,0.49,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-03,17.49,0.5,234,0.64,0.0,0.5,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-04,18.57,1.47,267,0.61,0.0,0.54,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-05,20.0,2.3,269,0.25,0.0,0.6,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-06,20.95,3.2,212,0.98,0.0,0.56,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-07,22.03,4.04,252,0.52,0.0,0.62,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-08,22.43,4.77,288,0.41,0.0,0.52,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-09,16.16,4.08,314,0.32,0.0,0.26,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-10,11.62,0.54,309,0.03,0.0,0.39,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-11,12.94,1.88,59,0.62,0.61,0.72,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-12,20.47,4.75,264,0.56,0.56,0.73,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-13,17.34,1.44,303,0.01,0.0,0.65,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-14,14.14,1.14,288,0.39,0.0,0.48,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-15,13.47,0.4,318,0.15,0.0,0.4,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-16,14.23,2.49,299,0.37,0.0,0.53,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-17,18.28,2.99,296,0.58,0.03,0.47,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-18,12.21,0.26,156,0.55,0.03,0.63,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-19,15.71,0.74,224,0.76,1.09,0.71,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-20,17.65,3.86,292,0.08,0.01,0.51,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-21,16.74,1.24,299,0.48,0.0,0.37,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-22,14.81,2.22,43,1.0,1.76,0.8,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-23,19.05,3.64,219,0.66,0.59,0.74,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-24,17.51,0.81,194,0.53,0.02,0.73,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-25,17.56,4.7,294,0.32,0.01,0.59,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-26,14.94,2.59,335,0.02,0.0,0.47,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-27,16.6,0.82,322,0.12,0.0,0.54,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-28,19.16,4.24,182,0.8,0.46,0.62,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-29,15.77,2.71,227,0.77,1.82,0.76,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-04-30,15.78,3.56,325,0.06,0.0,0.54,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-01,17.55,0.39,326,0.11,0.0,0.57,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-02,21.19,3.28,324,0.03,0.0,0.56,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-03,24.55,3.14,266,0.53,0.01,0.56,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-04,22.57,2.4,210,0.86,0.27,0.76,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-05,18.1,4.27,285,0.51,0.05,0.62,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-06,12.74,2.23,327,0.1,0.0,0.48,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-07,13.03,2.66,170,0.72,0.16,0.65,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-08,12.32,1.25,338,0.35,0.03,0.6,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-09,13.97,0.5,339,0.54,0.0,0.49,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-10,15.68,3.26,348,0.0,0.0,0.4,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-11,13.16,0.69,284,0.31,0.0,0.48,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-12,16.1,0.57,205,0.89,0.0,0.61,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-13,19.42,0.92,246,0.72,0.01,0.66,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-14,21.31,2.05,265,0.75,0.0,0.62,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-15,22.04,1.08,301,0.35,0.0,0.63,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-16,22.93,1.9,265,0.81,0.0,0.63,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-17,21.86,2.35,145,0.93,0.5,0.79,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-18,20.7,2.26,178,0.83,0.75,0.84,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-19,13.94,5.15,45,0.96,1.93,0.92,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-20,15.12,2.52,144,0.97,0.16,0.85,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-21,18.94,0.41,193,0.61,0.22,0.84,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-22,22.98,1.81,297,0.68,0.06,0.76,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-23,25.59,0.76,303,0.53,0.01,0.67,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-24,22.71,2.8,223,0.82,0.11,0.83,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
2020-05-25,21.43,2.99,99,0.98,0.15,0.88,Anderson,South Carolina,45007,SC,198064,34.5193,-82.6378
